NAICS,Purchases from,In-region Purchases,% In-region Purchases,Imported Purchases,% Imported Purchases,Total Purchases,Cluster Name,Cluster ID,SBDC Region
531311,Residential Property Managers,2337460.105,0.717699382,919418.9788,0.282300618,3256879.084,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,1375769.086,0.425087903,1860665.252,0.574912097,3236434.338,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
335929,Other Communication and Energy Wire Manufacturing,1347100.167,0.416807342,1884849.061,0.583192658,3231949.228,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
326220,Rubber and Plastics Hoses and Belting Manufacturing,0.0,0.0,3196966.989,1.0,3196966.989,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
332313,Plate Work Manufacturing,1434149.575,0.450297575,1750743.383,0.549702425,3184892.957,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",863710.0628,0.278060922,2242479.959,0.721939078,3106190.022,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
321911,Wood Window and Door Manufacturing,295457.1644,0.096406923,2769231.081,0.903593077,3064688.245,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
551112,Offices of Other Holding Companies,1777809.464,0.582052545,1276570.212,0.417947455,3054379.675,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,44008.97213,0.014451074,3001368.319,0.985548926,3045377.291,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
221112,Fossil Fuel Electric Power Generation,404736.0735,0.13444573,2605668.745,0.86555427,3010404.818,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,1133794.026,0.377377894,1870605.659,0.622622106,3004399.686,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,86357.81042,0.028765874,2915734.569,0.971234126,3002092.38,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
721110,Hotels (except Casino Hotels) and Motels,675644.891,0.230231178,2258991.925,0.769768822,2934636.816,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
523910,Miscellaneous Intermediation,312080.592,0.107229793,2598310.105,0.892770207,2910390.697,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423850,Service Establishment Equipment and Supplies Merchant Wholesalers,1722854.246,0.598742016,1154602.491,0.401257984,2877456.737,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
332322,Sheet Metal Work Manufacturing,127470.9047,0.044416095,2742455.068,0.955583905,2869925.973,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
441330,Automotive Parts and Accessories Retailers,821020.6121,0.296187011,1950946.364,0.703812989,2771966.976,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
332613,Spring Manufacturing,564641.5783,0.21205031,2098130.182,0.78794969,2662771.76,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
519290,Web Search Portals and All Other Information Services,9026.491843,0.003484158,2581697.627,0.996515842,2590724.118,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
424690,Other Chemical and Allied Products Merchant Wholesalers,671888.5473,0.262517014,1887520.98,0.737482986,2559409.527,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
335313,Switchgear and Switchboard Apparatus Manufacturing,26718.37185,0.010471525,2524807.964,0.989528475,2551526.336,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",1600968.44,0.62791965,948670.5778,0.37208035,2549639.018,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
327993,Mineral Wool Manufacturing,226953.5626,0.089383277,2312151.846,0.910616723,2539105.409,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,1782401.75,0.707350949,737424.8672,0.292649051,2519826.617,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
321215,Engineered Wood Member Manufacturing,61276.12866,0.024483965,2441428.376,0.975516035,2502704.505,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
513210,Software Publishers,422120.7104,0.169401595,2069713.62,0.830598405,2491834.33,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
332311,Prefabricated Metal Building and Component Manufacturing,196578.1793,0.079116476,2288089.845,0.920883524,2484668.024,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
335312,Motor and Generator Manufacturing,438917.0817,0.177808648,2029562.861,0.822191352,2468479.943,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
321920,Wood Container and Pallet Manufacturing,1377520.8,0.558277635,1089926.781,0.441722365,2467447.581,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
324110,Petroleum Refineries,1126.795343,0.000460119,2447796.351,0.999539881,2448923.146,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
561330,Professional Employer Organizations,902891.8579,0.37444365,1508397.151,0.62555635,2411289.009,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
441120,Used Car Dealers,1207306.152,0.503900646,1188614.875,0.496099354,2395921.027,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423390,Other Construction Material Merchant Wholesalers,135696.752,0.056793679,2253596.48,0.943206321,2389293.232,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,1586019.572,0.664111563,802162.8685,0.335888437,2388182.441,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
331314,Secondary Smelting and Alloying of Aluminum,0.0,0.0,2338101.313,1.0,2338101.313,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
334417,Electronic Connector Manufacturing,0.0,0.0,2334028.34,1.0,2334028.34,Transportation Equipment Manufacturing,IC21,East Central IN SBDC
